ID,lane_count,vehicle_fromTaz,vehicle_toTaz,avrg_speed,ini_time,end_time,ini_x_pos,ini_y_pos,end_x_pos,end_y_pos,tripinfo_duration,tripinfo_routeLength,tripinfo_timeLoss,tripinfo_waitingCount,tripinfo_waitingTime,tripinfo_arrivalLane,tripinfo_departLane,Repetition
5605,17,Gandesa,TerraAlta,14.262619047619046,85420.0,85461.0,16598.1,60088.97,16423.27,60063.83,42.0,572.06,14.9,0,0.0,50866269#2_0,-196651467#12_0,1
1,5,Gandesa,TerraAlta,4.202307692307692,78.0,90.0,16594.79,60104.01,16602.28,60083.22,13.0,62.25,8.55,0,0.0,196651467#12_1,50866278_0,2
280,18,Gandesa,TerraAlta,13.763773584905662,9396.0,9448.0,16452.07,60070.52,16405.8,60063.04,53.0,709.54,20.32,0,0.0,50866269#1_0,-50866276_0,2
605,53,Gandesa,TerraAlta,10.61852534562213,20855.0,21288.0,16601.61,60007.55,18041.49,59051.25,434.0,4595.95,82.91,0,0.0,-491918743#0_0,196651600#0_0,2
925,8,Gandesa,TerraAlta,16.907500000000002,27756.0,27771.0,16582.21,60102.93,16413.26,60061.23,16.0,242.8,5.86,0,0.0,50866269#1_0,50866277#1_0,2
936,7,Gandesa,TerraAlta,6.530714285714287,28548.0,28561.0,16414.82,60051.8,16399.08,60098.83,14.0,95.47,9.0,0,0.0,50866271_0,50866272#0_0,2
940,14,Gandesa,TerraAlta,12.521481481481485,28820.0,28873.0,16601.61,60007.55,16405.56,60099.84,54.0,663.4,18.71,0,0.0,50866268_0,196651600#0_0,2
985,4,Gandesa,TerraAlta,10.301333333333334,30620.0,30634.0,16304.38,60054.48,16421.14,60056.27,15.0,140.37,6.52,0,0.0,50866273#0_0,-196651497_0,2
1301,13,Gandesa,TerraAlta,11.09461229946524,33174.0,33921.0,16410.61,60007.99,17989.15,62506.68,748.0,8283.03,71.1,0,0.0,-293716706#2_0,-50866270#0_0,2
1407,11,Gandesa,TerraAlta,15.971264367816095,36159.0,36245.0,16418.77,60061.94,17099.17,60682.34,87.0,1358.73,16.46,0,0.0,-196651625#5_0,50866269#1_0,2
1472,103,Gandesa,TerraAlta,15.756876475216355,37536.0,38806.0,16601.61,60007.55,11442.04,54700.63,1271.0,20017.38,191.15,0,0.0,199754168#4_0,196651600#0_0,2
1638,10,Gandesa,TerraAlta,12.496111111111114,37897.0,37914.0,16410.61,60007.99,16407.5,60008.78,18.0,212.15,9.66,0,0.0,50866270#0_0,-50866270#0_0,2
1895,28,Gandesa,TerraAlta,13.310542635658916,42952.0,43080.0,16639.03,60006.19,16497.97,59301.2,129.0,1711.2,42.76,0,0.0,196651469#2_0,-196651491_0,2
2142,9,Gandesa,TerraAlta,5.91453488372093,43241.0,43412.0,16594.79,60104.01,17152.73,59930.5,172.0,1019.53,25.18,0,0.0,465749865_0,50866278_0,2
2657,6,Gandesa,TerraAlta,11.404000000000002,47150.0,47159.0,16428.89,60086.07,16420.66,60054.67,10.0,97.6,3.72,0,0.0,50866273#0_0,50866269#4_0,2
3174,11,Gandesa,TerraAlta,13.813809523809526,56111.0,56131.0,16429.85,60072.09,16588.81,60098.31,21.0,271.14,10.18,0,0.0,466427549_0,50866269#3_0,2
3720,35,Gandesa,TerraAlta,12.88000000000001,62610.0,62757.0,16601.61,60007.55,16206.85,59540.53,148.0,1895.82,45.01,0,0.0,-196651509#1_0,196651600#0_0,2
4545,109,Gandesa,TerraAlta,15.848913886733909,71923.0,73211.0,16639.03,60006.19,11807.62,54782.54,1289.0,20422.1,187.24,0,0.0,-199754179#3_0,-196651491_0,2
4698,26,Gandesa,TerraAlta,13.153898305084743,71545.0,71662.0,16601.61,60007.55,16574.47,59388.89,118.0,1539.62,39.03,0,0.0,-196651483#1_0,196651600#0_0,2
4900,14,Gandesa,TerraAlta,6.8373255813953495,72528.0,72699.0,16402.92,60101.99,17188.68,59945.35,172.0,1180.2,25.87,0,0.0,-196651625#2_0,50866268_0,2
5174,12,Gandesa,TerraAlta,29.002047244094488,78828.0,78954.0,16602.57,60107.68,14797.12,62883.27,127.0,3686.83,13.61,0,0.0,-706054831#8_0,-196651467#15_0,2
5501,20,Gandesa,TerraAlta,14.315444444444447,81414.0,81503.0,16639.03,60006.19,16396.59,59415.65,90.0,1277.37,30.59,0,0.0,390194654#0_0,-196651491_0,2
5515,47,Gandesa,TerraAlta,13.648008474576265,81918.0,82153.0,16639.03,60006.19,17360.47,59326.9,236.0,3207.57,60.61,0,0.0,-196651642#1_0,-196651491_0,2
5541,6,Gandesa,TerraAlta,9.923125,82860.0,82875.0,16399.42,60093.47,16351.02,59987.36,16.0,170.9,6.93,0,0.0,196651571_0,50866271_0,2
5692,21,Gandesa,TerraAlta,14.095368421052632,85613.0,85707.0,16601.61,60007.55,16396.96,59415.98,95.0,1328.55,31.14,0,0.0,390194654#0_0,196651600#0_0,2
47,43,Gandesa,TerraAlta,7.196545632973497,2443.0,3461.0,16639.03,60006.19,16338.79,59239.46,1019.0,7326.46,129.11,0,0.0,196651519#3_0,-196651491_0,4
335,20,Gandesa,TerraAlta,11.470103092783495,10260.0,10453.0,16586.63,60098.41,17176.29,60303.62,194.0,2221.01,41.62,0,0.0,-196651625#4_0,466427549_0,4
906,93,Gandesa,TerraAlta,15.856645056726089,26388.0,27621.0,16601.61,60007.55,11644.44,54821.69,1234.0,19554.75,178.3,0,0.0,199754765#1_0,196651600#0_0,4
1266,3,Gandesa,TerraAlta,11.581875,35653.0,35668.0,16601.61,60007.55,16585.12,59922.82,16.0,180.28,4.01,0,0.0,-196651613#0_0,196651600#0_0,4
1304,5,Gandesa,TerraAlta,9.015,33282.0,33301.0,16421.18,60056.4,16591.57,60098.19,20.0,180.63,13.27,0,0.0,466427549_0,50866273#0_0,4
1329,11,Gandesa,TerraAlta,13.2612987012987,34182.0,34258.0,16601.61,60007.55,16360.61,59760.49,77.0,1006.07,21.7,0,0.0,-196651557#2_0,196651600#0_0,4
1563,8,Gandesa,TerraAlta,19.64433962264151,39463.0,39515.0,16436.79,60067.43,15843.03,60831.26,53.0,1044.1,9.38,0,0.0,-196651624#0_0,50866266#1_0,4
1590,28,Gandesa,TerraAlta,12.86503816793892,36568.0,36698.0,16601.61,60007.55,16748.49,59483.82,131.0,1674.74,44.69,0,0.0,-196651521#1_0,196651600#0_0,4
2272,8,Gandesa,TerraAlta,22.12125,45369.0,45416.0,16427.89,60068.25,15843.14,60831.24,48.0,1035.12,5.76,0,0.0,-196651624#0_0,50866269#2_0,4
2836,32,Gandesa,TerraAlta,12.983481481481473,49770.0,49904.0,16601.61,60007.55,16201.14,59523.47,135.0,1740.84,42.33,0,0.0,-196651529#1_0,196651600#0_0,4
2925,6,Gandesa,TerraAlta,12.902857142857142,53478.0,53491.0,16403.22,60091.43,16341.94,59985.67,14.0,170.72,3.98,0,0.0,196651571_0,50866269#7_0,4
2997,13,Gandesa,TerraAlta,11.924339622641508,51469.0,51521.0,16414.82,60051.8,16417.07,60035.41,53.0,638.98,23.62,0,0.0,-50866270#0_0,50866272#0_0,4
3505,26,Gandesa,TerraAlta,13.036838235294116,61076.0,61211.0,16639.03,60006.19,16804.47,59398.4,136.0,1771.11,47.92,0,0.0,-196651499#0_0,-196651491_0,4
3843,24,Gandesa,TerraAlta,13.233779527559063,63630.0,63756.0,16601.61,60007.55,16694.6,59408.69,127.0,1678.65,43.78,0,0.0,-196651527#4_0,196651600#0_0,4
3844,2,Gandesa,TerraAlta,5.9577027027027025,63810.0,63957.0,16627.74,60115.91,17188.75,59943.36,148.0,877.85,15.99,0,0.0,-196651625#2_0,-196653113_0,4
3862,57,Gandesa,TerraAlta,10.084780701754392,61500.0,61955.0,16601.61,60007.55,17055.66,60888.46,456.0,4585.41,86.4,0,0.0,196651625#5_0,196651600#0_0,4
4059,11,Gandesa,TerraAlta,12.252272727272727,66330.0,66351.0,16602.57,60107.68,16415.22,60061.11,22.0,272.04,10.51,0,0.0,50866266#0_0,-196651467#15_0,4
4233,88,Gandesa,TerraAlta,15.963294892915972,66780.0,67993.0,16639.03,60006.19,11712.91,54787.34,1214.0,19367.69,168.24,0,0.0,199754761#1_0,-196651491_0,4
4267,24,Gandesa,TerraAlta,13.175625000000005,67500.0,67627.0,16601.61,60007.55,16700.12,59410.24,128.0,1678.65,43.94,0,0.0,-196651527#4_0,196651600#0_0,4
4902,11,Gandesa,TerraAlta,12.447391304347825,72579.0,72601.0,16604.94,60117.83,16417.4,60061.6,23.0,276.35,10.65,0,0.0,50866269#1_0,-196651467#16_0,4
5015,7,Gandesa,TerraAlta,12.513333333333335,75485.0,75535.0,16601.61,60007.55,16529.48,59981.91,51.0,624.75,12.83,0,0.0,196651572_0,196651600#0_0,4
5382,65,Gandesa,TerraAlta,17.24311808118083,80900.0,81983.0,16601.61,60007.55,3655.04,58961.78,1084.0,18677.6,140.08,0,0.0,406494093_0,196651600#0_0,4
270,28,Gandesa,TerraAlta,13.170307692307704,8676.0,8805.0,16601.61,60007.55,16263.65,59483.74,130.0,1698.88,39.63,0,0.0,-332326065#0_0,196651600#0_0,0
399,38,Gandesa,TerraAlta,7.720776397515517,12204.0,12847.0,16601.61,60007.55,16164.19,57262.57,644.0,4959.35,92.2,0,0.0,-183603284_0,196651600#0_0,0
1338,8,Gandesa,TerraAlta,13.915,34506.0,34521.0,16397.04,60081.24,16589.38,60098.29,16.0,214.29,8.11,0,0.0,466427549_0,50866269#8_0,0
1341,23,Gandesa,TerraAlta,11.753103448275864,34614.0,34758.0,16601.61,60007.55,16192.68,59759.42,145.0,1696.72,37.44,0,0.0,-196651628#1_0,196651600#0_0,0
1632,15,Gandesa,TerraAlta,15.548461538461542,37731.0,37769.0,16427.89,60068.25,16396.75,59918.04,39.0,583.39,11.89,0,0.0,-196651487_0,50866269#2_0,0
2408,8,Gandesa,TerraAlta,12.44,44364.0,44381.0,16397.04,60081.24,16590.64,60098.23,18.0,214.29,10.23,0,0.0,466427549_0,50866269#8_0,0
2460,30,Gandesa,TerraAlta,13.501574803149614,45612.0,45738.0,16601.61,60007.55,16309.18,59342.3,127.0,1702.64,44.5,0,0.0,196651576_0,196651600#0_0,0
2531,8,Gandesa,TerraAlta,18.45448598130841,47396.0,47502.0,16561.9,60099.41,16954.49,61201.28,107.0,1954.55,14.65,0,0.0,-531726274#1_0,50866276_0,0
2629,3,Gandesa,TerraAlta,7.691666666666666,50110.0,50115.0,16586.63,60094.84,16607.26,60099.75,6.0,48.1,3.04,0,0.0,196651467#14_1,50866279#1_0,0
3007,74,Gandesa,TerraAlta,16.081443624868296,51694.0,52642.0,16639.03,60006.19,14590.66,59337.34,949.0,15245.32,135.32,0,0.0,293669299#1_0,-196651491_0,0
3021,10,Gandesa,TerraAlta,9.466778523489939,52009.0,52157.0,16604.94,60117.83,16730.22,60941.93,149.0,1401.34,25.14,0,0.0,196651595_0,-196651467#16_0,0
3443,29,Gandesa,TerraAlta,12.853795620437955,59359.0,59495.0,16601.61,60007.55,16374.26,59624.52,137.0,1754.67,44.9,0,0.0,196651507#3_0,196651600#0_0,0
3485,4,Gandesa,TerraAlta,21.15333333333333,60522.0,60530.0,16436.79,60067.43,16588.7,60093.93,9.0,164.95,2.65,0,0.0,50866279#1_0,50866266#1_0,0
3769,98,Gandesa,TerraAlta,15.862329863891098,63590.0,64838.0,16601.61,60007.55,11692.24,54860.62,1249.0,19795.73,177.43,0,0.0,-199754770#0_0,196651600#0_0,0
3801,12,Gandesa,TerraAlta,14.071632653061231,64230.0,64278.0,16403.84,60064.39,16530.42,59982.18,49.0,675.6,14.86,0,0.0,196651572_0,50866269#0_0,0
4149,10,Gandesa,TerraAlta,10.530826347305382,65002.0,65836.0,16396.8,60110.61,17916.53,62189.48,835.0,8761.26,72.1,0,0.0,531726264#1_0,-706054831#15_0,0
4157,3,Gandesa,TerraAlta,6.025843373493975,65171.0,65336.0,16430.73,60203.41,17009.25,60887.26,166.0,994.65,16.21,0,0.0,196651633#1_0,196651611#1_0,0
4647,10,Gandesa,TerraAlta,13.741176470588233,70465.0,70481.0,16418.77,60061.94,16353.32,59987.79,17.0,230.95,4.74,0,0.0,196651571_0,50866269#1_0,0
4767,11,Gandesa,TerraAlta,14.39368421052632,73069.0,73087.0,16403.22,60091.43,16607.35,60100.14,19.0,269.14,7.8,0,0.0,196651467#14_1,50866269#7_0,0
4855,48,Gandesa,TerraAlta,14.672298850574718,75049.0,75570.0,16639.03,60006.19,12864.93,59921.19,522.0,7645.59,90.42,0,0.0,357066480#0_0,-196651491_0,0
4867,39,Gandesa,TerraAlta,12.213924050632913,75319.0,75476.0,16639.03,60006.19,16337.68,59318.6,158.0,1919.81,52.99,0,0.0,-196651627#1_0,-196651491_0,0
5224,13,Gandesa,TerraAlta,14.369466666666666,76488.0,76562.0,16601.61,60007.55,16332.31,59636.23,75.0,1061.53,21.28,0,0.0,357066467_0,196651600#0_0,0
5433,27,Gandesa,TerraAlta,13.655217391304346,80460.0,80574.0,16639.03,60006.19,16196.03,59521.95,115.0,1561.21,34.05,0,0.0,196651529#1_0,-196651491_0,0
5450,10,Gandesa,TerraAlta,15.228333333333332,79578.0,79595.0,16594.88,60108.94,16417.34,60061.59,18.0,263.2,7.67,0,0.0,50866266#0_0,50866277#0_0,0
16,5,Gandesa,TerraAlta,12.64,849.0,861.0,16397.04,60081.24,16345.9,59986.41,13.0,158.43,3.6,0,0.0,196651571_0,50866269#8_0,3
104,99,Gandesa,TerraAlta,15.751118160190327,1764.0,3024.0,16601.61,60007.55,11458.91,54725.15,1261.0,19860.71,186.8,0,0.0,-199754764#0_0,196651600#0_0,3
707,11,Gandesa,TerraAlta,13.864871794871796,23175.0,23213.0,16403.84,60064.39,16393.29,59934.44,39.0,528.16,14.66,0,0.0,-50866270#3_0,50866269#0_0,3
1359,13,Gandesa,TerraAlta,11.906511627906973,35262.0,35304.0,16586.63,60098.41,16427.41,60088.57,43.0,519.18,18.54,0,0.0,50866269#4_0,466427549_0,3
1741,11,Gandesa,TerraAlta,14.13932098765432,40312.0,40473.0,16436.79,60067.43,17387.67,61340.14,162.0,2290.91,20.58,0,0.0,531487905_0,50866266#1_0,3
1915,11,Gandesa,TerraAlta,13.857945205479455,39717.0,39789.0,16601.61,60007.55,16384.46,59668.78,73.0,1027.93,20.63,0,0.0,-196651467#1_0,196651600#0_0,3
2036,7,Gandesa,TerraAlta,11.868070175438595,42279.0,42335.0,16601.61,60007.55,16561.47,59939.5,57.0,664.47,16.44,0,0.0,-196651467#6_0,196651600#0_0,3
2104,100,Gandesa,TerraAlta,15.323599585062249,42540.0,44467.0,16639.03,60006.19,7299.64,53457.83,1928.0,29532.8,221.78,0,0.0,-182419309_0,-196651491_0,3
2132,26,Gandesa,TerraAlta,13.75672413793103,45900.0,46015.0,16601.61,60007.55,16408.12,59355.47,116.0,1583.1,38.15,0,0.0,196651524#1_0,196651600#0_0,3
2310,27,Gandesa,TerraAlta,15.015140186915882,45990.0,46096.0,16639.03,60006.19,16128.24,59356.61,107.0,1597.2,35.01,0,0.0,-196651517#2_0,-196651491_0,3
3708,34,Gandesa,TerraAlta,12.704509803921573,62370.0,62522.0,16601.61,60007.55,16198.48,59613.61,153.0,1936.21,52.28,0,0.0,162990533#1_0,196651600#0_0,3
3811,5,Gandesa,TerraAlta,6.214077669902912,64430.0,64532.0,16576.4,60095.87,17163.19,60253.7,103.0,634.16,13.34,0,0.0,-196653113_0,50866279#0_0,3
3974,40,Gandesa,TerraAlta,14.30017045454545,64188.0,64363.0,16601.61,60007.55,15917.16,59681.46,176.0,2505.18,54.83,0,0.0,-196651587_0,196651600#0_0,3
4217,14,Gandesa,TerraAlta,19.700634920634922,66442.0,66504.0,16594.67,60074.89,16083.18,60714.43,63.0,1239.26,17.49,0,0.0,-706054831#14_0,-196651467#11_0,3
4328,40,Gandesa,TerraAlta,9.346618911174787,69930.0,71325.0,16639.03,60006.19,15895.78,59697.33,1396.0,13046.58,158.96,0,0.0,-509300371#3_0,-196651491_0,3
5096,8,Gandesa,TerraAlta,11.148391608391604,76956.0,77098.0,16576.4,60095.87,17176.29,60303.7,143.0,1586.53,19.17,0,0.0,-196651625#4_0,50866279#0_0,3
5127,8,Gandesa,TerraAlta,9.774166666666668,77700.0,77711.0,16436.79,60067.43,16426.77,60067.08,12.0,116.61,4.42,0,0.0,50866269#2_0,50866266#1_0,3
5267,11,Gandesa,TerraAlta,13.7795,77593.0,77612.0,16403.22,60091.43,16607.83,60102.15,20.0,269.14,8.82,0,0.0,196651467#14_1,50866269#7_0,3
5606,40,Gandesa,TerraAlta,9.219738372093014,85460.0,86835.0,16601.61,60007.55,15497.93,59782.52,1376.0,12673.69,159.95,0,0.0,293669312_0,196651600#0_0,3
