ID,lane_count,vehicle_fromTaz,vehicle_toTaz,avrg_speed,ini_time,end_time,ini_x_pos,ini_y_pos,end_x_pos,end_y_pos,tripinfo_duration,tripinfo_routeLength,tripinfo_timeLoss,tripinfo_waitingCount,tripinfo_waitingTime,tripinfo_arrivalLane,tripinfo_departLane,Repetition
3813,131,MoraEbre,RiberaEbre,13.451036559139789,58205.0,60529.0,33333.11,63627.58,44796.18,64432.03,2325.0,31269.76,263.25,0,0.0,-32515189#1_0,-153173587#1_0,2
3839,12,MoraEbre,RiberaEbre,10.795714285714288,58873.0,58921.0,33538.52,63522.16,33321.97,63346.04,49.0,526.78,14.74,0,0.0,-194785445#1_0,153173585_0,2
3849,11,MoraEbre,RiberaEbre,11.854166666666664,59130.0,59177.0,33502.21,63510.89,33396.82,63561.55,48.0,558.89,11.55,0,0.0,153173586#3_0,-497727610#1_0,2
3850,143,MoraEbre,RiberaEbre,12.92895059029297,59156.0,61442.0,33481.23,63509.97,48511.09,68576.37,2287.0,29553.21,269.5,0,0.0,152745463#2_0,497727588_0,2
3865,55,MoraEbre,RiberaEbre,13.345340136054425,59542.0,59835.0,33560.22,63474.34,34590.59,63780.7,294.0,3920.68,76.98,0,0.0,161836034#2_0,214473860#2_0,2
3882,78,MoraEbre,RiberaEbre,14.596167800453525,59979.0,60419.0,33397.31,63580.33,34057.82,64916.2,441.0,6428.31,100.39,0,0.0,184296879_0,153173578_0,2
3907,43,MoraEbre,RiberaEbre,12.361371681415935,60622.0,60847.0,33548.37,63533.39,34100.76,63802.28,226.0,2796.71,61.47,0,0.0,123759230#6_0,-153173573#1_0,2
3919,93,MoraEbre,RiberaEbre,14.378646034816224,60930.0,61446.0,33397.31,63580.33,33848.3,64603.98,517.0,7430.73,120.03,0,0.0,-162915232_0,153173578_0,2
3933,62,MoraEbre,RiberaEbre,13.406799065420554,58230.0,58657.0,33339.34,63546.65,33845.64,62344.36,428.0,5733.6,89.1,0,0.0,35559148_0,153173569_0,2
3939,143,MoraEbre,RiberaEbre,12.857763215377913,59310.0,61598.0,33519.97,63524.65,48127.73,69008.11,2289.0,29428.35,276.09,0,0.0,-132122757#1_0,153173580#0_0,2
3961,143,MoraEbre,RiberaEbre,12.958198158702311,57919.0,60199.0,33443.74,63466.7,48694.81,68721.02,2281.0,29562.91,273.14,0,0.0,32515451#1_0,497727581_0,2
3965,17,MoraEbre,RiberaEbre,6.304641638225265,58030.0,58908.0,33533.77,63517.51,33754.94,68333.39,879.0,5528.23,83.37,0,0.0,-184610094_0,-153173585_0,2
3982,175,MoraEbre,RiberaEbre,12.970820925553305,58500.0,60984.0,33352.51,63653.54,48671.26,68926.59,2485.0,32227.8,319.88,0,0.0,296904170#3_0,-194785453_0,2
3990,137,MoraEbre,RiberaEbre,13.351146330872776,58722.0,61024.0,33384.92,63574.6,45234.28,64062.14,2303.0,30752.77,273.36,0,0.0,229421606#2_0,153173576#0_0,2
3992,127,MoraEbre,RiberaEbre,12.24506759906759,58777.0,60921.0,33446.04,63553.53,45953.71,67640.15,2145.0,26256.06,257.95,0,0.0,61735850_0,-153173583#1_0,2
4008,151,MoraEbre,RiberaEbre,12.925096882898053,59220.0,61593.0,33338.6,63503.4,47995.12,68696.34,2374.0,30676.75,292.38,0,0.0,214467258#6_0,194785457#1_0,2
4011,98,MoraEbre,RiberaEbre,21.731971428571445,59304.0,60003.0,33533.77,63517.51,43924.65,66217.37,700.0,15213.42,99.77,0,0.0,743729605#1_0,-153173585_0,2
4018,93,MoraEbre,RiberaEbre,19.28397610921502,59497.0,60082.0,33443.74,63466.7,40070.67,65930.1,586.0,11296.64,99.44,0,0.0,743729595#0_0,497727581_0,2
4025,55,MoraEbre,RiberaEbre,11.228116591928258,59691.0,59913.0,33548.87,63506.27,32745.02,62824.41,223.0,2505.58,74.05,0,0.0,152916913#4_0,-497727618#0_0,2
4036,142,MoraEbre,RiberaEbre,12.234707467282526,59996.0,62593.0,33397.31,63580.33,46404.19,67348.79,2598.0,31774.24,311.83,0,0.0,-562708001_0,153173578_0,2
4045,95,MoraEbre,RiberaEbre,15.933887240356109,60245.0,61592.0,33384.92,63574.6,41101.27,63921.66,1348.0,21475.04,161.47,0,0.0,293791058#0_0,153173576#0_0,2
4063,136,MoraEbre,RiberaEbre,12.594650635208724,60744.0,62947.0,33481.23,63509.97,46419.89,67329.66,2204.0,27749.23,260.66,0,0.0,61735882#0_0,497727588_0,2
4087,77,MoraEbre,RiberaEbre,17.169525862068962,58275.0,58738.0,33396.44,63527.69,37526.16,65068.17,464.0,7954.79,97.24,0,0.0,262738767#2_0,152916669#2_0,2
4098,27,MoraEbre,RiberaEbre,7.630445283018861,59265.0,60589.0,33396.44,63527.69,32320.22,65048.62,1325.0,10099.26,139.58,0,0.0,-549607681#0_0,152916669#2_0,2
4099,36,MoraEbre,RiberaEbre,11.789999999999996,59355.0,59499.0,33496.68,63554.26,33200.52,62737.31,145.0,1693.59,43.42,0,0.0,32260569#2_0,153173582_0,2
4106,153,MoraEbre,RiberaEbre,12.921767502160751,59985.0,62298.0,33533.77,63517.51,47695.11,68903.22,2314.0,29889.11,287.08,0,0.0,-653654700#5_0,-153173585_0,2
4112,127,MoraEbre,RiberaEbre,12.397482837528589,60525.0,62709.0,33333.11,63627.58,46762.71,66898.68,2185.0,27076.45,257.43,0,0.0,158609153_0,-153173587#1_0,2
4120,81,MoraEbre,RiberaEbre,15.223924050632911,61210.0,61683.0,33404.79,63562.58,33570.2,65272.69,474.0,7208.41,107.44,0,0.0,-332191367#1_0,153173586#2_0,2
4130,152,MoraEbre,RiberaEbre,12.843741037536914,61410.0,63780.0,33480.84,63528.78,49396.81,67989.75,2371.0,30439.77,291.67,0,0.0,495239742#1_0,153173583#0_0,2
4166,119,MoraEbre,RiberaEbre,15.311582641991064,62130.0,63696.0,33423.04,63502.27,42734.56,67414.09,1567.0,23983.94,183.2,0,0.0,-560278418_0,-194785458_0,2
4183,113,MoraEbre,RiberaEbre,14.727232746955346,62470.0,63947.0,33404.79,63562.58,44331.33,66493.57,1478.0,21773.22,181.66,0,0.0,61735858_0,153173586#2_0,2
4243,41,MoraEbre,RiberaEbre,11.257105263157897,63670.0,63859.0,33481.17,63436.5,33163.6,63049.8,190.0,2135.58,57.13,0,0.0,152916696_0,214473853#4_0,2
4255,94,MoraEbre,RiberaEbre,18.523713991769572,63910.0,64881.0,33384.36,63419.11,42422.6,62424.89,972.0,17990.99,127.13,0,0.0,-32514588#2_0,152916669#1_0,2
4269,37,MoraEbre,RiberaEbre,11.474261363636373,64190.0,64365.0,33416.61,63554.91,33425.26,63067.6,176.0,2013.5,47.85,0,0.0,-542101269#0_0,-152916669#2_0,2
4275,149,MoraEbre,RiberaEbre,12.991249457700627,64310.0,66614.0,33361.94,63520.77,48564.0,68678.71,2305.0,29937.43,277.41,0,0.0,198738443#3_0,-194785457#0_0,2
4342,29,MoraEbre,RiberaEbre,11.025390625000005,62220.0,62347.0,33423.04,63502.27,33460.38,63215.49,128.0,1403.23,37.24,0,0.0,-152916671#9_0,-194785458_0,2
4353,64,MoraEbre,RiberaEbre,14.644136125654454,62484.0,62865.0,33451.66,63565.58,35313.61,64626.56,382.0,5589.45,89.48,0,0.0,743798428_0,-153173582_0,2
4377,145,MoraEbre,RiberaEbre,11.992483060980438,63060.0,65568.0,33377.11,63507.03,47836.9,67747.15,2509.0,30072.5,300.31,0,0.0,562708002#1_0,-152916669#1_0,2
