ID,lane_count,vehicle_fromTaz,vehicle_toTaz,avrg_speed,ini_time,end_time,ini_x_pos,ini_y_pos,end_x_pos,end_y_pos,tripinfo_duration,tripinfo_routeLength,tripinfo_timeLoss,tripinfo_waitingCount,tripinfo_waitingTime,tripinfo_arrivalLane,tripinfo_departLane,Repetition
152,154,Tortosa,BaixEbre,25.023069712946693,5550.0,7256.0,22426.73,32322.6,45670.46,43852.43,1707.0,42708.19,175.41,0,0.0,-156402318#2_0,560977621#13_0,2
158,113,Tortosa,BaixEbre,26.860572289156643,5910.0,6905.0,22571.83,32857.13,38635.5,35336.67,996.0,26757.03,124.99,0,0.0,525922541#0_0,-103962834#3_0,2
160,138,Tortosa,BaixEbre,14.806687598116168,6030.0,7940.0,22472.18,32659.12,38202.51,27577.85,1911.0,28284.34,248.53,0,0.0,194820857#0_0,-103962834#0_0,2
161,63,Tortosa,BaixEbre,13.67700374531834,6090.0,6356.0,22483.77,32645.84,20347.31,32294.57,267.0,3644.24,55.99,0,0.0,-363594708#1_0,119055086#0_0,2
168,141,Tortosa,BaixEbre,26.75957908163273,6510.0,8077.0,22573.06,32662.89,47090.62,44421.9,1568.0,41949.55,153.76,0,0.0,143472043#10_0,344448216#0_0,2
169,110,Tortosa,BaixEbre,30.006353637901874,6570.0,7751.0,22567.97,32642.52,46586.63,39972.06,1182.0,35453.54,127.17,0,0.0,153764818#5_0,344448216#2_0,2
174,51,Tortosa,BaixEbre,14.262603773584907,6870.0,7134.0,22472.18,32659.12,21905.03,33182.12,265.0,3776.53,47.71,0,0.0,315172285#10_0,-103962834#0_0,2
176,34,Tortosa,BaixEbre,13.695477707006367,6990.0,7146.0,22483.82,32689.14,22892.3,32111.82,157.0,2134.71,25.6,0,0.0,132524503#7_0,-103962834#1_0,2
179,28,Tortosa,BaixEbre,13.152374100719431,7170.0,7308.0,22437.18,32441.78,22227.4,31816.94,139.0,1805.51,24.98,0,0.0,113187593#0_0,150637239#1_0,2
180,125,Tortosa,BaixEbre,26.507627573858574,3636.0,4752.0,22573.06,32662.89,39456.1,22303.26,1117.0,29599.42,142.93,0,0.0,54153664_0,344448216#0_0,2
183,201,Tortosa,BaixEbre,22.892632386799697,3852.0,5154.0,22472.07,32354.09,18745.54,21961.76,1303.0,29822.88,228.63,0,0.0,-363642102#5_0,362662925#1_0,2
